City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
308,Wetaskiwin,CA,52.97,-113.37,46.4,42,20,8.05,few clouds
309,Pandan,PH,14.05,124.17,87.8,60,100,2.15,overcast clouds
310,Dawei,MM,14.08,98.2,78.51,88,100,5.41,light rain
311,Pochutla,MX,15.74,-96.47,79.0,88,100,3.22,overcast clouds
312,Tuatapere,NZ,-46.13,167.68,48.56,79,99,7.94,overcast clouds
313,Iquitos,PE,-3.75,-73.25,70.92,97,100,1.83,overcast clouds
314,Inhambane,MZ,-23.86,35.38,71.55,87,74,10.49,light rain
315,Aloleng,PH,16.13,119.78,84.94,72,89,5.97,overcast clouds
316,Turinskaya Sloboda,RU,57.62,64.39,47.53,90,19,5.23,few clouds
317,Salalah,OM,17.02,54.09,75.2,83,20,3.36,few clouds
318,Borogontsy,RU,62.67,131.17,41.27,63,2,5.93,clear sky
319,Khani,GE,41.96,42.96,68.0,45,32,34.45,scattered clouds
320,Rio Gallegos,AR,-51.62,-69.22,33.8,55,48,24.16,scattered clouds
321,Salinas,US,36.68,-121.66,60.8,87,90,8.05,overcast clouds
322,Ramhormoz,IR,31.28,49.6,84.83,36,0,2.39,clear sky
323,Oyem,GA,1.6,11.58,65.73,99,82,1.7,broken clouds
324,Astoria,US,46.19,-123.83,64.4,82,20,3.36,few clouds
325,Jiuquan,CN,39.74,98.52,51.21,44,77,3.36,broken clouds
326,Xiaoweizhai,CN,26.19,107.51,67.82,79,86,3.33,overcast clouds
327,Abnub,EG,27.27,31.15,77.0,57,12,11.41,few clouds
328,Kastamonu,TR,41.5,33.67,55.08,80,76,4.97,broken clouds
329,Estelle,US,29.85,-90.11,72.0,81,0,7.67,clear sky
330,Salekhard,RU,66.53,66.6,46.92,90,100,5.88,overcast clouds
331,Tautira,PF,-17.73,-149.15,78.93,76,0,21.12,clear sky
332,Okhotsk,RU,59.38,143.3,50.67,60,100,6.15,overcast clouds
333,Heyang,CN,26.1,107.47,67.68,79,79,3.31,broken clouds
334,Naron,ES,43.52,-8.15,55.99,100,75,5.82,broken clouds
335,Yebaishou,CN,41.4,119.64,62.22,30,0,6.82,clear sky
336,Kindu,CD,-2.95,25.95,67.6,98,99,1.59,overcast clouds
337,Cap-Aux-Meules,CA,47.38,-61.86,61.68,93,45,26.8,scattered clouds
338,Calabozo,VE,8.92,-67.43,74.59,95,63,4.09,broken clouds
339,Chuy,UY,-33.7,-53.46,51.66,91,1,5.53,clear sky
340,Bida,NG,9.08,6.02,73.36,94,100,3.2,overcast clouds
341,Okha,RU,53.57,142.95,53.56,73,98,9.69,light rain
342,Atar,MR,20.52,-13.05,87.28,32,0,7.27,clear sky
343,Dothan,US,31.22,-85.39,57.2,93,1,4.18,clear sky
344,Port Blair,IN,11.67,92.75,84.54,76,69,19.44,light rain
345,Ayr,GB,55.46,-4.63,53.6,81,20,11.41,light rain
346,Faurei,RO,45.08,27.27,53.6,81,75,4.7,broken clouds
347,Norman Wells,CA,65.28,-126.83,41.0,75,75,1.1,broken clouds
348,Tamandare,BR,-8.76,-35.1,74.12,80,23,8.61,few clouds
349,Wanxian,CN,30.8,108.39,76.15,64,88,5.28,overcast clouds
350,Sisimiut,GL,66.94,-53.67,29.03,94,59,8.43,broken clouds
351,Mbekenyera,TZ,-10.0,38.98,67.66,86,6,1.59,clear sky
352,Ulaangom,MN,49.98,92.07,49.14,46,89,6.15,overcast clouds
353,Kavaratti,IN,10.57,72.64,82.4,78,20,6.93,few clouds
354,Shelburne,CA,44.08,-80.2,55.0,87,75,8.84,broken clouds
355,Aswan,EG,24.09,32.91,81.21,25,0,7.74,clear sky
356,Koumac,NC,-20.57,164.28,72.07,63,13,20.54,few clouds
357,San Quintin,MX,30.48,-115.95,77.04,55,0,4.94,clear sky
358,Saint Joseph,US,39.77,-94.85,62.01,51,1,5.82,clear sky
359,Bima,ID,-8.47,118.72,96.24,36,99,7.47,overcast clouds
