City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
274,Vangaindrano,MG,69.64,broken clouds,-23.35,47.6,Hotel Fanilo
277,Hefei,CN,73.4,haze,31.86,117.28,Jinhuan Hotel
278,Kawalu,ID,77.16,broken clouds,-7.38,108.21,KOSAN UNGU UNSIK
279,Tanete,ID,84.83,broken clouds,-3.94,119.78,Wisma Tri Multi
280,Praia Da Vitoria,PT,68.0,few clouds,38.73,-27.07,Hotel Branco I
283,Moerai,PF,73.54,clear sky,-22.43,-151.33,Le Manotel
286,Estelle,US,77.0,clear sky,29.85,-90.11,Comfort Inn Marrero - New Orleans West
288,Mahina,PF,84.2,few clouds,-17.51,-149.49,Guest Beach Bungalow Tahiti
289,Nelson Bay,AU,73.4,scattered clouds,-32.72,152.15,Mantra Nelson Bay
292,Ryotsu,JP,66.2,broken clouds,38.08,138.43,Sadokamoko Onsen Kohanno Yado Yoshidaya
295,Shingu,JP,77.0,few clouds,33.73,135.98,Shingu UI Hotel
296,Teacapan,MX,83.39,broken clouds,22.55,-105.75,Hotel los Mangos
298,Westport,US,68.0,clear sky,41.14,-73.36,The Westport Inn
299,Eirunepe,BR,72.19,moderate rain,-6.66,-69.87,Pousada Novo Acre
300,Olinda,BR,78.8,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
301,Yunyang,CN,70.27,overcast clouds,33.45,112.71,Post & Telecom Hotel
303,Teahupoo,PF,84.2,few clouds,-17.83,-149.27,Vanira Lodge
307,Dhrangadhra,IN,79.56,clear sky,22.98,71.47,AMOEBA spot
308,Padang,ID,78.8,scattered clouds,-0.95,100.35,Mercure Padang
309,Kimbe,PG,83.84,overcast clouds,-5.55,150.14,Kimbe Bay Hotel
314,Tatawin,TN,80.6,clear sky,32.93,10.45,Sangho Privilege Tataouine
317,Dingle,PH,83.41,overcast clouds,11.0,122.67,Camp Pasica
318,Gushikawa,JP,80.6,overcast clouds,26.35,127.87,Kirari Guest House
320,Tezu,IN,80.73,clear sky,27.92,96.17,Circuit House
323,Niquelandia,BR,83.88,clear sky,-14.47,-48.46,Hotel Suinã
324,Vao,NC,68.14,clear sky,-22.67,167.48,Hotel Kou-Bugny
325,Sao Luiz Gonzaga,BR,78.35,clear sky,-28.41,-54.96,Xerife Hotel
326,Maragogi,BR,75.18,light rain,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
327,Half Moon Bay,US,84.99,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
329,Eyl,SO,75.69,overcast clouds,7.98,49.82,Amiin Hotel
331,Cabo San Lucas,MX,84.99,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
332,Le Port,RE,69.8,broken clouds,-20.94,55.29,Villa Maido
335,Bela,IN,73.38,few clouds,25.93,81.98,Siddharth Hotel
338,Dhidhdhoo,MV,81.72,broken clouds,6.88,73.1,Dhidhoo beach
339,Rio Grande,BR,68.0,overcast clouds,-32.03,-52.1,Hotel Atlântico Rio Grande
340,Sao Felix Do Xingu,BR,75.2,light rain,-6.64,-51.99,Apart Hotel Rio Xingu
